#31	VV CD CD NN IN NN NN !#31/NN
$	IN !$/$ CD
$38.99	VV NN NN JJ NN NN JJ NN NN IN !$38.99/NN
$389.00	VV NN IN VV NP NN CD NN NN NN JJ NN IN !$389.00/NN
$389.70	RB IN JJ !$389.70/NN
$389.95	NN IN JJ !$389.95/NN SYM CD NN IN NN NNS NN JJ CD NN
$39	IN !$39/JJ NN SYM NN IN NN NN IN NN IN NP NN
$39.00	IN !$39.00/NP SYM JJ NN
$39.13	NN JJ CD JJ JJ NN NN IN !$39.13/NN
$39.90	NP SYM NNS IN !$39.90/NN DT
$39.94	NN NN NN IN !$39.94/NN IN NP NN
$39.95	NN NN NN NN NN IN !$39.95/NN
$39.97	IN !$39.97/JJ
$39.98	RB IN !$39.98/NP
$39.99	IN !$39.99/NN
$395	NN NN IN !$395/NN
$398	NN IN !$398/NN
$398.97	NN JJ NN IN RB !$398.97/JJ
$399	IN DT NN IN NNS NN NN NN CD NN IN !$399/NN
$399.00	JJ NN JJ NN CD NN NN NN NN IN !$399.00/NN
$399.95	RB IN !$399.95/NN RB SYM JJ NN
$399.96	!$399.96/NN IN NN NN NN NN IN JJ NN
$399.98	VV NNS NN NN NN VVN IN !$399.98/NN
$399.99	RB IN !$399.99/NN
$4	!$4/NN IN VVZ NN VVZ
$4+	VV CD NN IN NN IN NN !$4+/NN
$4.00	CD IN !$4.00/NN
$4.23	VV CD NN JJ NN SYM !$4.23/JJ NNS
$4.29	IN !$4.29/NN
$4.35	NNS IN JJ IN !$4.35/NN
$4.38	IN !$4.38/NN
$4.39	VV DT JJ NP NN IN !$4.39/NN
$4.41	IN !$4.41/NN
$4.49	VV JJ NN NN NN IN JJ !$4.49/NN
$4.5	!$4.5/NP
$4.50	NN JJ NNS NN IN !$4.50/NN
$4.79	IN !$4.79/NP SYM JJR NNS
$4.82	NN VVP NN NN NN RB IN RB !$4.82/NP
$4.84	VV !$4.84/NN IN JJ JJ NN NN
$4.95	!$4.95/JJ DT
$4.97	NNS VVG IN JJ !$4.97/NNS SYM CD NN IN JJ NNS SYM JJR NNS
$4.98	JJ NN NN IN !$4.98/NN RB IN NN NNS
$4.99	JJ NN NN NN IN !$4.99/NN
$40	NN IN !$40/NN
$40+	VV CD NN IN PP$ VVP SYM JJ NN IN JJ NN SYM CD IN JJ NN NNS SYM JJ NN IN !$40+/NN
$40.00	VV NN IN !$40.00/NN IN JJ NN NNS
$40.04	JJ NN JJ JJ NN NN NN NN IN !$40.04/NN
$400	VV !$400/JJ
$41.36	VV JJ JJ JJ NN NN IN !$41.36/NN
$41.99	DT JJ NN NN NN IN RB !$41.99/JJ
$411	VV !$411/JJ
$419.99	NN IN !$419.99/NN
$42	NN !$42/NN
$42.39	IN !$42.39/NN
$425	!$425/NN IN NP NP NNS NN
$43	VV RB CD NN NN NN IN NN NN IN !$43/NN CC JJR
$43.38	IN !$43.38/NN
$43.42	JJ JJ CD NN NN JJ JJ NN IN !$43.42/NN
$430	RB !$430/JJ IN NP NN
$439.99	NN !$439.99/NN
$44	!$44/JJ JJ NN NN
$44.91	IN !$44.91/NN
$44.96	!$44.96/NN NN CD NN NN CD
$44.97	IN !$44.97/JJ
$44.98	CD NN NNS IN !$44.98/NN
$44.99	DT JJ JJ NN NN IN !$44.99/JJ NN IN NN
$440	VV !$440/JJ
$447	NN IN !$447/JJ NN
$449	!$449/JJ NN NNS SYM CD NN IN JJ NN
$449.98	VV NP CD VVD JJ NN VVN IN !$449.98/NN
$449.99	VV NN JJ NN VVN IN RB !$449.99/JJ
$45	VV NN IN NN CC NN IN !$45/NN
$45,000	!$45,000/NN IN JJ JJ NNS
$45.47	IN !$45.47/JJ
$450	VV !$450/JJ
$450.00	VV !$450.00/JJ
$46.09	!$46.09/NN IN NN NN NN NN IN NNS VVG NN
$46.28	IN !$46.28/NN
$46.49	JJ JJ NN SYM NN NN IN !$46.49/NN
$47.93	IN !$47.93/NN
$47.97	IN !$47.97/JJ
$47.99	NN CD NN NN JJ NN NN NN IN !$47.99/NN
$479.99	JJ NN JJ VVN NN IN !$479.99/NN IN NN
$48	VV NN NN JJ TO VV NN IN RB !$48/JJ
$48.00	VV !$48.00/JJ
$48.74	JJ JJ NN NN NN IN !$48.74/NN
$480	VV !$480/NN IN DT NN NN NN VVD RB IN RB JJ
$489.99	!$489.99/NN IN RB JJ JJ JJ NN NN NN SYM NP NNS TO VV JJ JJ NN IN PP$ JJ NN
$49	!$49/JJ NNS
$49-$99	RB IN !$49-$99/NN RB
$49.50	VBD !$49.50/JJ
$49.88	VV IN NN JJ NN CD IN !$49.88/NN
$49.97	VV NN NN NN NN NN IN NN IN RB !$49.97/JJ IN JJ NN
$49.99	IN !$49.99/NN
$499.95	NP CD NN IN !$499.95/NN
$499.99	!$499.99/NN IN NN NN VV JJ NN NN NN
$5	VV !$5/NN IN PP$ NN IN NN CC JJR
$5,000	VV JJ CD !$5,000/NN NN NNS CC DT NN CC JJ JJ NN
$5-$10	VV NN CC VV !$5-$10/NN IN PP$ NN
$5.00	JJ NN IN JJ !$5.00/NN
$5.14	RB IN RB !$5.14/JJ
$5.25	NNS IN !$5.25/NN
$5.38	VV JJ NN IN RB !$5.38/JJ JJ RB
$5.49	VV NN NN IN !$5.49/NN
$5.55	NN NN SYM NN NN JJ IN !$5.55/NN
$5.62	NN NN NN NN IN !$5.62/NN
$5.77	NN NN JJ NNS NN NN IN !$5.77/JJ
$5.79	PP MD VV IN !$5.79/NN
$5.95	NNS IN JJ IN !$5.95/NN
$5.97	JJR VVG IN !$5.97/NNS SYM RB TO CD NN IN NN NN
$5.99	VV NN NN IN !$5.99/NN
$5.99,2	VV CD NN CD VVG NN IN !$5.99,2/JJ NN CD VVG NNS IN NN
$5/	VV NN NNS IN !$5//JJ JJ NN
$50	VV NN IN PP$ NN IN !$50/NN
$50+	VV DT JJ CD NN JJ NN SYM JJ NN IN PP$ !$50+/JJ NN
$50.00	!$50.00/NN IN NN CD PP NN NN NN NN SYM JJ NN
$500	VV !$500/NN IN JJ JJ NN NN NN CC JJR NNS
$509	VVN JJ NN NN IN !$509/NN
$51	VV !$51/JJ
$51.98	RB IN !$51.98/NN
$52	!$52/JJ NN
$52.91	NN IN !$52.91/NN
$53.54	IN !$53.54/NN
$53.99	NNS CD IN !$53.99/NN
$530	!$530/NN
$54	RB TO !$54/NN DT
$54.29	IN !$54.29/NN
$54.50	VV !$54.50/JJ
$54.99	VV NP NP JJ NN NN IN !$54.99/NN
$549	NN CD NN JJ NN IN !$549/NN
$549.99	CD NN NN CD NN RB !$549.99/JJ
$55	!$55/NN IN DT CD NN NN NN NN NN IN DT JJ NN NN CC JJ NNS
$55.00	IN !$55.00/NN
$55.77	IN !$55.77/JJ
$55.96	RB IN !$55.96/NN
$55.97	IN !$55.97/JJ
$56	JJ NN NP NN IN !$56/NN IN NN
$56.50	IN !$56.50/NN
$569.99	NN NN NN JJ NN IN NN NNS CD IN !$569.99/NN
$57	JJ NN NP NN IN !$57/JJ IN NN
$57.05	VVG JJ NP JJ NN IN !$57.05/NN
$57.37	RB IN JJ !$57.37/NNS SYM JJ NN
$58	NN JJ !$58/NN
$58.99	NN CD NN NN IN !$58.99/NN
$59	NN IN !$59/NN IN JJ NN
$59.00	NN IN !$59.00/NN
$59.49	JJ NN NN JJ NN IN NN JJ IN !$59.49/NN
$59.83	NNS NN NNS JJ IN !$59.83/NN
$59.9	NN NN NNS IN !$59.9/NN
$59.95	JJR NN JJ NN IN !$59.95/NN
$59.97	!$59.97/JJ NNS
$59.98	NN JJ !$59.98/NN
$59.99	IN !$59.99/NN
$599	JJ NN NN VVN IN !$599/NN
$599.96	NN NN NN IN !$599.96/NN IN JJ NN
$599.99	NN CD NP NP VVD NN IN !$599.99/NN
$5us	NN IN !$5us/NN
$6	VV CD JJ NNS IN !$6/NN
$6.00	CD JJ NNS IN JJ !$6.00/NN
$6.19	PP MD VV IN !$6.19/NN
$6.29	NN NN IN !$6.29/NN
$6.299	CD NNS NN IN NNS IN !$6.299/NP SYM JJR NNS
$6.49	VV NN NN IN !$6.49/NN
$6.5	IN NN !$6.5/NN
$6.50	!$6.50/JJ DT
$6.69	JJ NN CC NN NN IN !$6.69/NP SYM JJR NNS NNS
$6.79	JJ NN NNS NN IN !$6.79/NN
$6.80	NN IN !$6.80/NN
$6.84	IN !$6.84/NN
$6.88	IN !$6.88/NN
$6.96	JJ JJ NN NN NN IN !$6.96/NN
$6.98	NN IN !$6.98/NN CC NN IN NN
$6.99	!$6.99/JJ NN NN
$60	NN IN !$60/NN
$60+	VV NN IN DT !$60+/JJ NN SYM JJ NN
$600	VV !$600/NN RP
$62.50	VV NN IN DT NN SYM CD IN !$62.50/JJ NNS JJ
$629.75	VVN IN !$629.75/NN
$63.48	IN !$63.48/NN
$63.99	DT JJ NN NN VVG IN !$63.99/NN
$639.99	!$639.99/JJ IN RB JJ JJ JJ NN NN VVN
$64	IN NN NN IN !$64/NN CC JJR
$64.12	VV !$64.12/NN IN JJ NNS JJ NN NN
$64.27	IN !$64.27/JJ
$64.59	IN !$64.59/NN
$64.88	IN !$64.88/NN
$64.95	!$64.95/NN NN
$64.99	VV CD NN IN DT NP NN NN IN JJ NN IN JJ !$64.99/NN SYM JJ NN
$645	VV !$645/NN
$649	NN IN !$649/NN
$649.99	VV NN NN JJ NN IN NN IN !$649.99/NN VVN
$65	VV !$65/JJ
$65.00	IN !$65.00/NN
$66	IN !$66/NN
$66.79	JJ JJ JJ NN IN !$66.79/NN
$66.99	IN !$66.99/NN
$67.49	VV RB !$67.49/JJ IN NN NN NN NN
$67.50	VV CD NN IN NP NN NNS IN !$67.50/NP SYM RB TO CD NN IN JJ JJ NN
$67.85	VV !$67.85/JJ
$67.99	!$67.99/NN IN NN JJ NN
$679.99	NN CD RB !$679.99/JJ
$68.50	VV NN NN NN NN NN IN !$68.50/NN
$68.99	NN IN !$68.99/NN
$680.27	NN NN NP JJ NN NN IN !$680.27/JJ
$688	VV NP NN NN VVN IN !$688/NN RB SYM IN RB TO CD NN IN JJ NNS
$689.99	RB IN RB !$689.99/JJ
$69	NN !$69/NN
$69.28	VV NN JJ JJ NN IN !$69.28/NN
$69.94	VV NN IN NN NN NN RB IN RB !$69.94/JJ
$69.97	NN IN !$69.97/JJ
$69.99	!$69.99/JJ NN NN VVP NN
$698	NN IN !$698/NN
$699	JJR NN IN !$699/NN
$699.97	NN CD NN IN !$699.97/JJ
$699.99	NN IN !$699.99/NN
$7	NNS IN !$7/JJ
$7,000	JJ CC !$7,000/JJ TO VV IN NN
$7.00	CD IN !$7.00/NP SYM VVN NN
$7.00save	VV DT NN NN VV DT NN NN IN RB !$7.00save/JJ CD NN
$7.28	NN CD VVP CD NN SYM CD MD VV NN IN !$7.28/NN
$7.40	VV CD NNS IN !$7.40/NN
$7.44	IN !$7.44/NN
$7.49	VV NN NN NN IN !$7.49/NN
$7.50	RB TO !$7.50/JJ NN
$7.59	JJ JJ NN IN !$7.59/NP SYM NN NN
$7.69	!$7.69/NNS SYM JJR NNS NNS
$7.77	NN NN JJ NN NN IN !$7.77/JJ
$7.80	NN IN !$7.80/NN
$7.88	IN !$7.88/NN
$7.93	IN !$7.93/NN
$7.97	!$7.97/JJ IN NN NN NN
$7.98	NN NN NN NN JJ VVP NN IN !$7.98/NN
$7.99	NN NN NN IN !$7.99/NN
$70	CC NN NNS NN SYM RB TO !$70/NN IN JJ NN NNS
$70+	VV !$70+/NN CC VV DT NN
$70.00	VV !$70.00/NN IN NN JJ VVN NN VV IN RB NP
$70.10	JJ JJ NNS JJ CD NN NN NN IN !$70.10/NN
$700	VV !$700/NN IN NN NN NN NN SYM RB TO CD NN RP IN RB NN
$71	VV !$71/JJ IN JJ NN NN
$71.99	NP NP NP JJ NN NN IN !$71.99/NN
$719	VVN NN NN IN !$719/NN
$72	VV RP TO !$72/NN RP IN JJ NN JJ NN NNS
$72.00	RB JJ IN !$72.00/NN
$728	NP JJ NN NN VVN IN RB !$728/JJ
$729	VV NNS TO NN VVG IN !$729/NN
$74	VBD !$74/JJ
$74.99	NN NNS IN !$74.99/NN
$749.00	VV !$749.00/NN
$749.99	NN IN !$749.99/NN
$75	VV NN WRB PP VVP !$75/NN
$75+	NP NN IN NN IN !$75+/NN
$75,000	!$75,000/NN IN JJ NNS
$75.99	!$75.99/NP
$75/	!$75//JJ NN NNS
$76	!$76/JJ NN
$760	RB IN !$760/NN
$77.23	IN !$77.23/NP SYM JJ NN
$77.99	VVZ JJ JJ NN NN IN RB !$77.99/NP
$78	NP NNS IN !$78/NN
$789.95	NN NN IN !$789.95/NN
$79	VV CD NN NN NN JJ JJ NN IN !$79/NN
$79.33	NN NN NP CD JJ JJ NN IN !$79.33/NN
$79.64	NN NN NN NN IN !$79.64/NN
$79.88	VV JJR NN NN NN IN !$79.88/NN
$79.93	JJ IN !$79.93/NN
$79.94	VV DT NP NN JJ JJ NN IN RB !$79.94/JJ
$79.95	JJ NN NN CC NN NN IN !$79.95/NN
$79.97	IN !$79.97/JJ
$79.98	!$79.98/NN IN NP JJ JJ JJ NN NN
$79.99	JJ JJ NN NN IN !$79.99/NN
$798	NN IN !$798/NN
$799	VV DT NN NNS JJ NN NN NN IN RB !$799/JJ
$799.99	!$799.99/JJ NNS NN NN JJ NN NN NN SYM CD NN IN NNS
$8	VV !$8/NN RB VVZ NN VVZ
$8.00	VV !$8.00/NN
$8.08	IN !$8.08/NN
$8.29	JJ NN NN IN !$8.29/NN
$8.35	VV CD NNS IN NN JJ NN NN NNS CD NN IN !$8.35/NN RB
$8.39	NN CD JJ NN NN IN !$8.39/NN
$8.49	CC VV RP TO !$8.49/NN
$8.50	!$8.50/NN IN JJ NNS
$8.69	VV CD NN NN NN IN !$8.69/NP SYM JJR NNS NNS
$8.75	VV JJ NN CD NN NN NN IN RB !$8.75/JJ
$8.78	JJR JJ JJ NN IN !$8.78/NN IN NN
$8.90	IN !$8.90/NN
$8.93	IN !$8.93/NN
$8.97	VV RB TO CD NN IN NN DT NNS SYM !$8.97/JJ NN NNS SYM JJR NNS
$8.99	VV DT NN NN NN IN JJ !$8.99/NN
$80	JJ JJ NN IN DT !$80/JJ NN NN SYM JJ NN
$80.99	NN NN JJ NN NNS IN !$80.99/NN RB
$800	VV !$800/NN IN JJ CD JJ NP JJ VVD JJ NN
$83.08	JJ NN NN JJ IN !$83.08/NN
$83.70	NN CD NN NN CC JJR IN !$83.70/NN
$83.92	JJ NN NN NNS VVP IN NN NN NN IN !$83.92/NN
$833	VV !$833/NN
$84	NN IN !$84/NN
$84.99	IN !$84.99/NN IN JJ NN
$845	JJ NN NN VVN IN !$845/NN
$85	IN !$85/JJ NN
$869	NN NNS JJ NNS IN !$869/NN
$87.93	!$87.93/JJ JJ NNS NN
$87.99	NN NN NN NN IN !$87.99/NP SYM CD NN IN JJ JJ NNS NN NN JJ NN NN
$870	VV !$870/NN IN VVG JJ JJ NNS JJ JJ JJ NN NN NN SYM NN NN
$88	NN NN IN !$88/NN
$88.00	IN !$88.00/NN VVP NN NN NN IN NN NN
$88.09	NN NN CD NN IN !$88.09/NN
$88.88	!$88.88/NN IN DT NN JJ NN NN NN RB
$89	NN !$89/NN
$89$110	!$89$110/NN
$89.00	JJ VVN NN NN JJ NN IN !$89.00/NN
$89.01	VV !$89.01/JJ CD NN RP
$89.87	IN !$89.87/JJ
$89.95	VV JJ NN NN JJ JJ JJ NN JJ NN NN IN !$89.95/NN
$89.97	IN !$89.97/JJ
$89.98	JJ NN VVN !$89.98/NP CD NN RP
$89.99	NN NN IN !$89.99/NN
$898	NN IN !$898/NN
$899	IN !$899/NP SYM JJ CD CD IN NP NN
$899.9	IN !$899.9/NN IN JJ NN
$899.94	NP CD NN IN !$899.94/NN
$899.99	NNS NN NP NP NN NN VVN IN !$899.99/NP SYM CD NN JJ NN SYM JJ CD NN CD NN IN NP NN
$9	VV !$9/NN RB VVZ
$9.09	JJ NN IN DT NN SYM IN CD NN IN JJ NN NNS VVP IN !$9.09/NN
$9.29	CD MD VV IN !$9.29/NP SYM JJR NNS
$9.47	JJ JJ NN NN IN !$9.47/JJ
$9.50	RB IN !$9.50/NN IN CD NN RP
$9.51	VV !$9.51/JJ CD NN
$9.84	NN NN JJ JJ JJ IN !$9.84/NN
$9.85	NN NN NN VVN IN !$9.85/NN
$9.88	!$9.88/NN IN NN JJR IN CD NN RP
$9.96	RB IN !$9.96/NN
$9.97	VV CD NN IN JJ NN NN NN NNS NN VVG IN !$9.97/JJ
$9.98	NN IN !$9.98/NN
$9.99	DT JJ NN NN IN JJ !$9.99/NN
$90	NNS JJ NNS NN IN !$90/NN DT
$90.00	VV !$90.00/NN IN NN JJ JJ NN NN NN NN
$90.53	IN !$90.53/NN
$91.98	VV NN NN NN JJ IN !$91.98/NN
$91.99	VV NN CD NN NN IN !$91.99/NN
$92	VV NN JJR IN NN JJ NN NN VVN IN NN JJ JJ NN IN RB !$92/JJ
$92.77	NN NN JJ JJ NN NN NN IN !$92.77/JJ
$93.57	CD NN IN !$93.57/JJ
$94	!$94/JJ NN
$94.99	!$94.99/JJ NN NN NN NN NN
$95	DT !$95/JJ NN
$95.00	!$95.00/NP
$95.97	IN !$95.97/JJ
$950	VV RP TO !$950/NN IN JJ NNS
$950.00	VV !$950.00/JJ CD NN RB SYM JJ NN
$96	NN IN !$96/NN
$97.48	!$97.48/JJ NN
$97.49	VV NN NN NN JJ NN NN NN NN NN NN JJ NN NN NN IN RB !$97.49/JJ IN JJ NN
$97.78	CD NN NNS IN !$97.78/NN
$98	DT !$98/JJ NN
$98.00	VBD !$98.00/JJ
$98.93	IN !$98.93/NN
$99	NN NN JJ NN IN !$99/NN
$99.00	NN IN !$99.00/NN
$99.63	NN NN NN NN NN IN !$99.63/NN
$99.64	NN NN NN NN IN !$99.64/NN
$99.83	IN !$99.83/NN
$99.88	NP NP JJ NN NN IN !$99.88/NN
$99.95	NP NP NN JJ NN IN !$99.95/NN
$99.96	NN CD CD VVN NN IN !$99.96/NN
$99.97	!$99.97/JJ IN NP NN CC NN IN NN
$99.98	NNS IN !$99.98/NN
$99.99	RB IN !$99.99/NN
$99.99-1/	NN !$99.99-1//NN CD NN
$998	RB JJ NN NN VVN IN !$998/NN
$999	NNS IN !$999/NN
$999.99	!$999.99/JJ JJ JJ NN NN VVD
%	VV CD !%/NN IN NN
%15	VV RB TO CD NN RB SYM JJ !@card@/CD CD IN NP NN
%20	CD NN IN JJ VVD NNS SYM DT JJ CD !@card@/CD IN NP NN
%25	VV !@card@/CD NN IN NNS IN JJ NP NN NNS
%50	NN NN CD NN RP CC JJ NN NN CD VVP CD !@card@/CD RB
%599.99	NN IN !@card@/CD
*	!*/SYM NN SYM
***	!***/JJ NN NN
*15	VV CD NN IN NNS !*15/JJ NNS CC CD NN
*ends	NP JJ NN !*ends/NNS IN JJ
*full	NNS SYM PP NP NN NN JJ NN NN VVZ !*full/JJ NN
*hot*	!*hot*/NN
*live	!*live/JJ NN
*live*	!*live*/NN
*november	!*november/NN CD NN
*now	!*now/NN NN
*on	NNS VVD JJ NN CD NN !*on/NN NN
*printable	NN CC NNS !*printable/JJ NN
*reminder*	JJ JJ NN CC NN NN NN !*reminder*/NN
*schedule	JJ NN NN NNS VVP NNS IN RB JJ NN DT NN NN IN JJ !*schedule/NN IN NN
*today	!*today/NN NN JJ NN
*today*	VV CD NN RP CC JJ NN NNS !*today*/NN
*update*	!*update*/NN
*weekend*	JJ NN NP CD !*weekend*/JJ NNS NNS
+	JJR NNS !+/SYM NNS NNS
+all	DT JJ !+all/NN NNS NN CD VVP CD JJ
+body	NN NNS CD IN NN CC CD IN NP SYM IN NN IN JJ NN IN NN !+body/NN NN
+flannel	VV DT JJ CD NN IN PP$ NN IN NP NN !+flannel/NN NNS NN IN NN
+save	CD NN IN JJ NN !+save/NN DT JJ CD NN IN NP NN
+up	VV CD NN IN DT NNS !+up/NN TO CD NN IN NNS NNS
-3	CD NN IN NNS VVD JJ NN JJ NN !@card@/CD NN
-5:00	VV JJ NN VV DT NN IN NN IN CD !@card@/CD NN
-70	VV CD NN !@card@/CD NN IN JJ NN
-7pm	NN JJ IN JJ !-7pm/NN CC VV RP IN NN IN JJ NN
-plush	!-plush/NN NN NN
-today	JJ NN IN NN NN IN JJ !-today/NN RB
.99	VV CD JJ CD VVG NN IN NP !@card@/CD
/	NN NN NN NN !//SYM NN NNS
0.15	!@card@/CD NN
0.24oz	VV DT CD NNS !0.24oz/NP NP NP NN NN IN DT JJ NN
0.5	VV CD NN IN NN NN JJ !@card@/CD JJ NNS
0.5ct	VV CD NN IN JJ NP JJ NN !0.5ct/NN NN NN NN
0.95	NN JJ NNS IN RB !@card@/CD IN DT JJ NN IN NN
007	VV CD NN IN NN NN !@card@/CD NN
01	CD NN IN DT NN NN !@card@/CD
02356-05	VV CD NN IN NN NN !@card@/CD CD CD JJ NN NN JJ NN NN
05	CD NN IN NN IN NNS NN !@card@/CD
0ff	VV CD NN !0ff/NN NN NN
0n	CD NN !0n/NN CD VVZ NN NN
1	NN !1/CD
1+	VV !1+/JJ
1,200	!@card@/CD NNS IN NN JJ NN NN NN NN
1-	NNS !@card@/CD CD
1-1/	VV CD NN IN NP CD NNS JJ JJ !@card@/CD JJ NN IN NN
1-2	VV CD NN NP !@card@/CD
1-3	VV CD NN IN JJ NN NN NNS !@card@/CD
1-4	VV CD NN JJ NN !@card@/CD NN
1-5	VV CD NN IN JJ NN NNS !@card@/CD
1-6	!@card@/CD
1-6-movie	JJ !1-6-movie/JJ NN
1-7	NNS !@card@/CD
1-8	VV CD NN IN NN JJ NN NN !@card@/CD
1-9	NNS !@card@/CD
1-compartment/	CD NN IN NN JJ NN JJ !1-compartment//JJ VVN NN
1-day	VVZ NP !1-day/JJ NN
1-full	VV CD NN IN JJ NNS CC CD NN IN !1-full/JJ VVN NN
1-handle	VV CD NN IN NP NP !1-handle/NP JJ NN NN
1-inch	VV CD NN IN NP JJ NN !1-inch/JJ NN VVG NN JJ
1-item	VV CD NN IN !1-item/JJ JJ
1-light	VV CD NN IN NN VVG JJ !1-light/JJ NN NN
1-pack	!1-pack/JJ
1-person	CD NN IN NN NN !1-person/NP NN NN
1-quart	VV CD NN IN RB NN JJ !1-quart/NP NN VV
1-second	CD NN IN NP !1-second/JJ NN NN
1-year	VV CD IN CD NN NNS CC CD IN CD NN JJ NN NNS IN DT !1-year/JJ NN IN NN NN NNS
1.0	NN DT NN NP NN !@card@/CD NN
1.00	VV !@card@/CD IN NN NNS NN
1.18l	VV NN IN DT NN NN JJ CC !1.18l/JJ
1.2.3	VV CD NN IN NN PP$ NN IN !@card@/CD NNS NN
1.42l	VV NN IN DT NN NN !1.42l/JJ CC JJ
1.5	VV JJ RB IN NN IN NNS NN NNS !@card@/CD NN
1.5-ft	VV CD NN IN JJ NNS VVP NN NN IN !1.5-ft/JJ NN
1.7	NN !@card@/CD NN NN JJ NN NN NN IN NN
1.7l	CD NN IN NN NN !1.7l/JJ JJ NN
1.89l	VV NN IN DT JJ JJ !1.89l/NN
1.8d	NN NNS JJ NP NN !1.8d/JJ NN IN NN
1.8l	!1.8l/NP
1/	VV CD NN IN NNS JJ !@card@/CD JJ JJ JJ JJ NN NN
10	!@card@/CD NN IN NNS
10%-100	VV CC VV !@card@/CD NN IN PDT PP$ NN
10%-25	!@card@/CD NN IN NN
10*30	VV CD NN IN NN NN !10*30/JJ NN VVG JJ
10,000	VV !@card@/CD NN JJ NN NNS
10-100	NN NN VVP !@card@/CD NN IN PP$ JJ NN
10-15	NN IN !@card@/CD NN IN JJ NN NN
10-20	JJ !@card@/CD NN IN JJ JJ NNS
10-day	VV DT JJ !10-day/JJ NN IN DT NN NN IN DT NNS NN
10-hours	NN NN !10-hours/NNS VVP NN
10-inch	VV CD NN IN JJR !10-inch/JJ JJ NN NN NN VVD IN NN JJ VVG NN
10-ounce	CD NN IN NN NN NN VVN JJ NN !10-ounce/JJ NN NN
10-pack	NN IN DT !10-pack/NN IN NN NN JJ IN JJ NN VVG NP NN
10-pc	JJ NN SYM !10-pc/JJ NNS CC JJ JJ NN IN RB JJ
10-piece	VV CD NN IN VVG NN NNS !10-piece/JJ NN NN
10-pieces	VV !10-pieces/NNS IN NN NNS IN NN RB
10.1	VV CD NN IN NP !@card@/CD NN NN CD
10.1-inch	NN NN !10.1-inch/JJ JJ NN IN NN
10.5	!@card@/CD
10/	NN !@card@/CD CD CD CD NN NN NN IN NN
100	VV NN VV JJ NN NN VVP !@card@/CD NN NNS SYM NNS NNS
100,000	!@card@/CD JJ JJ NNS IN NN NNS
100-percent	VV CD NN IN JJ NN JJ !100-percent/JJ JJ NN NN NN
100-piece	VV CD NN IN CD NNS NN IN NP SYM CD NN IN !100-piece/JJ NN NN
100/	NN CD !@card@/CD CD CD NN NN NN IN NN
1000	NN IN !@card@/CD
1000-piece	CD NN IN JJ JJ NN CD NN NN !1000-piece/NN
10000mah	VV CD NN IN JJ JJ !10000mah/NP JJ NN JJ NN NN
1000s	VV CD NN IN PP$ NN SYM NN NN !1000s/JJ IN NNS IN NN
100g	VV CD NN NNS IN NP SYM IN IN CD NN IN DT CD NN !100g/JJ NN NNS
100mg	VV CD NN IN NP SYM JJ !100mg/NN
100ml	VV CD NN IN JJ !100ml/JJ NN JJ NN JJR
100s	VV CD NN IN !100s/JJ IN NNS
100th	JJ !100th/JJ NN NN IN NN
101	VV !@card@/CD JJ NNS IN NP NN
10558	VV CD NN IN NN NN PP$ JJ NN NN NN VVD !@card@/CD
10693	VV CD NN IN NN JJ JJ NN !@card@/CD
10698	VV CD NN IN NN JJ JJ JJ NN NN !@card@/CD
10700	VV CD NN IN NN JJ JJ NN NN !@card@/CD
10701	VV CD NN IN NN JJ JJ NN NN !@card@/CD
10723	VV CD NN IN NN NNS NNS NN NN NN !@card@/CD
1080p	NN NNS !1080p/JJ IN NN
10:00	CD IN CD !@card@/CD NN
10:00am-1:00pm	VV CD NN IN PP$ NN !10:00am-1:00pm/NN VVP
10am-1pm	!10am-1pm/NP
10g	VV JJ !10g/JJ NN NN NN NNS
10k	VV CD NN IN !10k/NP NN NNS IN NP SYM RB TO CD NN IN JJ JJ NN
10pc	!10pc/JJ NNS
10pm	IN !10pm/NP
10th	NN NNS IN NN JJ TO !10th/JJ
10x	CD NN IN JJ NN NN VVP !10x/NP
11	NN !@card@/CD
11-12	NN !@card@/CD
11-feet	VV CD NN IN NN NNS !11-feet/JJ NN CC NN NN
11-inch	JJ CC !11-inch/JJ
11-pc	VV NN JJR IN NN !11-pc/JJ NN NN VVN IN NN JJ JJ NN IN RB JJ
11-piece	!11-piece/NP
11.5	!@card@/CD SYM CD
11.6	CD NN IN NN VVN NP !@card@/CD
11.6-inch	VV CD NN IN JJ !11.6-inch/JJ NN NN
11.99	!@card@/CD IN JJ NN IN CD NNS
11/	VVZ !@card@/CD CD
110	!@card@/CD NNS
1137680as	VV NP !1137680as/NP NNS VVN IN CD
114	VV !@card@/CD NN NN NNS SYM CD NNS NNS SYM IN NN IN JJ NN
119.99	IN NN !@card@/CD
11:00	NN CD IN !@card@/CD RB
11:59pm	JJ NP TO !11:59pm/NP VV RB
11am	JJ NNS IN NN NNS NNS !11am/NP NP
11am-3pm	NN CD IN !11am-3pm/NP
11pc	VV NN IN JJ NN NN SYM CD NN IN NP !11pc/NP JJ NN SYM JJR NNS
11th	RB !11th/JJ
12	NN !@card@/CD
12,000	VV !@card@/CD NNS IN NN PP VVP IN DT JJ NN
12-13	NN !@card@/CD
12-8pm	IN !12-8pm/NP
12-amp	VV NN IN NP !12-amp/JJ NN NN NN
12-cup	VV CD NN IN NP !12-cup/NP NN NN
12-hour	RB CD NN NNS NN VVZ !12-hour/JJ NN JJ NN
